,0
累积净值,74.58
年化收益,43.28%
最大回撤,-50.41%
最大回撤开始时间,2015-06-12 00:00:00
最大回撤结束时间,2015-07-08 00:00:00
年化收益/回撤比,0.86
修复涨幅（均/最大）,11.18% / 101.64%
修复时间（均/最大）,107.5 / 711.8
盈利周期数,1706.0
亏损周期数,1209.0
胜率（含0/去0）,58.50% / 58.50%
每周期平均收益,0.17%
盈亏收益比,0.89
单周期最大盈利,13.41%
单周期大亏损,-14.78%
最大连续盈利周期数,13.0
最大连续亏损周期数,9.0
收益率标准差,2.19%
