交易日期,涨跌幅
2014-12-31,80.76%
2015-12-31,326.72%
2016-12-31,55.4%
2017-12-31,-15.82%
2018-12-31,-3.13%
2019-12-31,74.16%
2020-12-31,-3.49%
2021-12-31,33.37%
2022-12-31,17.56%
2023-12-31,54.16%
2024-12-31,16.85%
2025-12-31,60.71%
