,交易日期,账户可用资金,持仓市值,印花税,券商佣金,总资产,净值,手续费,涨跌幅,杠杆,实际杠杆,净值max2here,净值dd2here
1894,2021-10-15,6555996.21587082,195946211.26000005,31738.540000000005,7554.758304000001,202502207.47587088,20.250220747587086,39293.298304,-0.013107883924262653,1.0,0.9676250629680073,21.34406519369316,-0.05124817771027468
1895,2021-10-18,6912066.729725224,197572507.70000005,31249.983000000004,7452.6231456000005,204484574.42972526,20.448457442972526,38702.6061456,0.00978935972384698,1.0,0.9661976129544154,21.34406519369316,-0.04196050483322522
1896,2021-10-19,6825565.643802826,196277092.82000002,26043.69506,6256.990862399999,203102658.46380284,20.310265846380286,32300.685922399996,-0.0067580450494925115,1.0,0.9663935189453994,21.34406519369316,-0.04843497890075532
1897,2021-10-20,6746638.111388426,194963702.73999998,31620.674870000003,7593.727544400001,201710340.8513884,20.17103408513884,39214.4024144,-0.00685524070903587,1.0,0.9665528396664649,21.34406519369316,-0.05495818617068948
1898,2021-10-21,6339135.059615628,191512427.52,31124.377439999997,7514.114332800001,197851562.57961565,19.785156257961564,38638.4917728,-0.01913029473593386,1.0,0.9679601466020024,21.34406519369316,-0.07303711460702578
1899,2021-10-22,6734259.237164429,187850752.48,27311.33476,6503.2476912,194585011.71716443,19.458501171716442,33814.5824512,-0.016510108992122574,1.0,0.9653916857329541,21.34406519369316,-0.08834137287651622
1900,2021-10-25,6941178.9828476235,187770366.46,30467.544139999995,7282.8501768,194711545.44284764,19.471154544284765,37750.3943168,0.0006502747799874697,1.0,0.964351477119342,21.34406519369316,-0.08774854426333989
1901,2021-10-26,6339027.39367002,188155821.0,31785.926479999995,7696.142697599998,194494848.39367002,19.449484839367003,39482.069177599995,-0.001112913200317811,1.0,0.9674077362664155,21.34406519369316,-0.08876380095043834
1902,2021-10-27,5568524.28883002,182542156.0,31375.261,7617.8438400000005,188110680.28883,18.811068028883,38993.10484,-0.03282435579948151,1.0,0.9703976176138434,21.34406519369316,-0.11867454216540829
1903,2021-10-28,5882295.149670022,179475164.0,33115.092000000004,7905.04716,185357459.14967003,18.535745914967002,41020.139160000006,-0.014636176611198315,1.0,0.9682651284892707,21.34406519369316,-0.1315737772182205
1904,2021-10-29,5447530.346590022,185218059.0,32117.271,7755.532080000001,190665589.34659,19.066558934659,39872.80308,0.028637262407842146,1.0,0.9714288752089002,21.34406519369316,-0.10670442759456755
1905,2021-11-01,5629192.254285625,186591177.76999998,35263.924,8436.2983044,192220370.0242856,19.22203700242856,43700.2223044,0.008154490188942098,1.0,0.9707149026215357,21.34406519369316,-0.09942005761356221
1906,2021-11-02,5819551.801965628,181825422.92,35527.886,8498.56632,187644974.7219656,18.76449747219656,44026.45232,-0.02380286387827646,1.0,0.9689863700821806,21.34406519369316,-0.12085643939369262
1907,2021-11-03,5906190.7820056295,183423590.42000002,34745.633,8323.38696,189329781.20200565,18.932978120200566,43069.019960000005,0.008978692248680975,1.0,0.9688047451145363,21.34406519369316,-0.11296287992059895
1908,2021-11-04,5752657.00556563,186320837.62,33179.267,7976.50944,192073494.62556565,19.207349462556564,41155.77644,0.014491716021329815,1.0,0.9700497092699851,21.34406519369316,-0.10010818987602998
1909,2021-11-05,5027487.28116563,186486891.90999997,25082.618000000002,6103.1064,191514379.1911656,19.15143791911656,31185.724400000003,-0.002910945289406053,1.0,0.9737487738393403,21.34406519369316,-0.10272772570168542
1910,2021-11-08,5131565.900869628,188819572.0,28209.5688,6753.611496,193951137.90086964,19.395113790086963,34963.180296,0.012723633180941052,1.0,0.9735419654846653,21.34406519369316,-0.09131116242008497
1911,2021-11-09,4824098.992109627,190814638.0,24372.292999999998,5882.615760000001,195638736.99210963,19.563873699210962,30254.90876,0.00870115591743792,1.0,0.9753418005744732,21.34406519369316,-0.0834045191638666
1912,2021-11-10,5280062.474749626,191496482.0,27159.893,6459.62436,196776544.47474962,19.677654447474964,33619.51736,0.005815859886101782,1.0,0.9731672162002664,21.34406519369316,-0.07807372827508963
1913,2021-11-11,5509232.531669624,194235252.0,27144.740999999998,6483.20208,199744484.53166962,19.97444845316696,33627.94308,0.01508279386063105,1.0,0.9724185999699224,21.34406519369316,-0.0641685043639626
1914,2021-11-12,5606084.259189623,194393756.0,25220.681999999997,6037.59048,199999840.25918964,19.999984025918963,31258.272479999996,0.0012784119076867384,1.0,0.9719695563160229,21.34406519369316,-0.06297212623635329
1915,2021-11-15,5772997.988989623,197261923.0,25579.922000000002,6115.3482,203034920.98898962,20.30349209889896,31695.270200000003,0.015175415769665968,1.0,0.9715664775257913,21.34406519369316,-0.04875233866422379
1916,2021-11-16,6456328.181069622,195275206.0,22496.890999999996,5313.91692,201731534.1810696,20.17315341810696,27810.807919999996,-0.006419520354287611,1.0,0.9679954440079033,21.34406519369316,-0.05485889238813735
1917,2021-11-17,6334689.021469621,198925213.0,19587.483,4712.676600000001,205259902.02146962,20.52599020214696,24300.1596,0.017490412962571478,1.0,0.9691382049826418,21.34406519369316,-0.038327984108103674
1918,2021-11-18,6128180.673909621,197167545.0,19855.261000000002,4787.08656,203295725.67390963,20.329572567390965,24642.347560000002,-0.00956921604373806,1.0,0.9698558311858492,21.34406519369316,-0.04753043139139035
1919,2021-11-19,5740254.51058962,200366255.0,23407.339,5660.824320000001,206106509.51058963,20.610650951058965,29068.16332,0.013826084278764084,1.0,0.9721490867793543,21.34406519369316,-0.034361506862849556
1920,2021-11-22,5394753.897469623,200797161.0,17853.076000000005,4323.53712,206191914.8974696,20.61919148974696,22176.613120000005,0.00041437500971097663,1.0,0.9738362491072834,21.34406519369316,-0.03396137040287861
1921,2021-11-23,5608542.962429621,201752720.0,20458.573,4881.36204,207361262.9624296,20.73612629624296,25339.93504,0.005671163515511557,1.0,0.9729527931962597,21.34406519369316,-0.02848280737213249
1922,2021-11-24,5908223.985509624,203053419.0,20618.550000000003,4909.42692,208961642.98550963,20.896164298550964,25527.97692,0.007717835048921318,1.0,0.9717257966529325,21.34406519369316,-0.020984797932239507
1923,2021-11-25,5886933.655629624,203116698.0,24555.990999999998,5892.33888,209003631.65562963,20.900363165562965,30448.329879999998,0.00020093960556644141,1.0,0.971833342755836,21.34406519369316,-0.020788075003692508
1924,2021-11-26,5577547.639349623,202011947.0,33423.28,8053.736280000001,207589494.6393496,20.75894946393496,41477.016279999996,-0.0067660882496534125,1.0,0.9731318405633212,21.34406519369316,-0.02741350930333053
1925,2021-11-29,5754542.832229624,198742393.0,32070.819000000003,7670.98812,204496935.8322296,20.449693583222963,39741.807120000005,-0.014897472593652927,1.0,0.9718600046068628,21.34406519369316,-0.04190258989344131
1926,2021-11-30,5836928.996109624,202853329.0,32150.407,7701.429120000001,208690257.99610963,20.869025799610963,39851.83612,0.020505550104282344,1.0,0.9720306589672315,21.34406519369316,-0.022256275445718066
