candle_begin_time,涨跌幅
2021-03-31,115.04%
2021-06-30,72.05%
2021-09-30,25.21%
2021-12-31,39.37%
2022-03-31,50.69%
2022-06-30,42.58%
2022-09-30,1.63%
2022-12-31,10.07%
2023-03-31,19.73%
2023-06-30,10.46%
2023-09-30,17.67%
2023-12-31,27.72%
2024-03-31,3.67%
2024-06-30,16.29%
2024-09-30,31.93%
2024-12-31,24.0%
2025-03-31,58.61%
2025-06-30,35.59%
2025-09-30,71.93%
2025-12-31,40.18%
2026-03-31,12.25%
